title,release_date
Casa de Dinamite,2025-10-02
Bom Menino,2025-10-01
Tron: Ares,2025-10-08
A Hora do Mal,2025-08-04
A Longa Marcha: Caminhe ou Morra,2025-09-10
Chainsaw Man – O Filme: Arco da Reze,2025-09-19
Éden,2025-04-03
O Elixir,2025-10-22
Quarteto Fantástico: Primeiros Passos,2025-07-23
O Telefone Preto 2,2025-10-15
Os Roses: Até Que a Morte Os Separe,2025-08-27
Triplo X,2002-08-09
Frankenstein,2025-10-17
Lago dos Ossos,2025-10-02
O Lobo de Wall Street,2013-12-25
F1 - O Filme,2025-06-25
O Frio da Morte,2025-09-23
Invocação do Mal - O Último Ritual,2025-09-03
Superman,2025-07-09
A Mão Que Balança o Berço,2025-10-21
